"Tabela 200 - População residente, por sexo, situação e grupos de idade - Amostra - Características Gerais da População"
"Variável - População residente (Pessoas)"
"Município";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Município";"Grupo de idade";"2010"
"Município";"Grupo de idade";"Total"
"Município";"Grupo de idade";"Total"
"Crissiumal (RS)";"Total";"14084"
"Cristal (RS)";"Total";"7280"
"Cristal do Sul (RS)";"Total";"2826"
"Cruz Alta (RS)";"Total";"62821"
"Cruzaltense (RS)";"Total";"2141"
"Cruzeiro do Sul (RS)";"Total";"12320"
"David Canabarro (RS)";"Total";"4683"
"Derrubadas (RS)";"Total";"3190"
"Dezesseis de Novembro (RS)";"Total";"2866"
"Dilermando de Aguiar (RS)";"Total";"3064"
"Dois Irmãos (RS)";"Total";"27572"
"Dois Irmãos das Missões (RS)";"Total";"2157"
"Dois Lajeados (RS)";"Total";"3278"
"Dom Feliciano (RS)";"Total";"14380"
"Dom Pedro de Alcântara (RS)";"Total";"2550"
"Dom Pedrito (RS)";"Total";"38898"
"Dona Francisca (RS)";"Total";"3401"
"Doutor Maurício Cardoso (RS)";"Total";"5313"
"Doutor Ricardo (RS)";"Total";"2030"
"Eldorado do Sul (RS)";"Total";"34343"
"Encantado (RS)";"Total";"20510"
"Encruzilhada do Sul (RS)";"Total";"24534"
"Engenho Velho (RS)";"Total";"1527"
"Entre-Ijuís (RS)";"Total";"8938"
"Entre Rios do Sul (RS)";"Total";"3080"
"Erebango (RS)";"Total";"2970"
"Erechim (RS)";"Total";"96087"
"Ernestina (RS)";"Total";"3088"
"Herval (RS)";"Total";"6753"
"Erval Grande (RS)";"Total";"5163"
"Erval Seco (RS)";"Total";"7878"
"Esmeralda (RS)";"Total";"3168"
"Esperança do Sul (RS)";"Total";"3272"
"Espumoso (RS)";"Total";"15240"
"Estação (RS)";"Total";"6011"
"Estância Velha (RS)";"Total";"42574"
"Esteio (RS)";"Total";"80755"
"Estrela (RS)";"Total";"30619"
"Estrela Velha (RS)";"Total";"3628"
"Eugênio de Castro (RS)";"Total";"2798"
"Fagundes Varela (RS)";"Total";"2579"
"Farroupilha (RS)";"Total";"63635"
"Faxinal do Soturno (RS)";"Total";"6672"
"Faxinalzinho (RS)";"Total";"2567"
"Fazenda Vilanova (RS)";"Total";"3697"
"Feliz (RS)";"Total";"12359"
"Flores da Cunha (RS)";"Total";"27126"
"Floriano Peixoto (RS)";"Total";"2018"
"Fontoura Xavier (RS)";"Total";"10719"
"Formigueiro (RS)";"Total";"7014"
"Forquetinha (RS)";"Total";"2479"
"Fortaleza dos Valos (RS)";"Total";"4575"
"Frederico Westphalen (RS)";"Total";"28843"
"Garibaldi (RS)";"Total";"30689"
"Garruchos (RS)";"Total";"3234"
"Gaurama (RS)";"Total";"5862"
"General Câmara (RS)";"Total";"8447"
"Gentil (RS)";"Total";"1677"
"Getúlio Vargas (RS)";"Total";"16154"
"Giruá (RS)";"Total";"17075"
"Glorinha (RS)";"Total";"6891"
"Gramado (RS)";"Total";"32273"
"Gramado dos Loureiros (RS)";"Total";"2269"
"Gramado Xavier (RS)";"Total";"3970"
"Gravataí (RS)";"Total";"255660"
"Guabiju (RS)";"Total";"1598"
"Guaíba (RS)";"Total";"95204"
"Guaporé (RS)";"Total";"22814"
"Guarani das Missões (RS)";"Total";"8115"
"Harmonia (RS)";"Total";"4254"
"Herveiras (RS)";"Total";"2954"
"Horizontina (RS)";"Total";"18348"
"Hulha Negra (RS)";"Total";"6043"
"Humaitá (RS)";"Total";"4919"
"Ibarama (RS)";"Total";"4371"
"Ibiaçá (RS)";"Total";"4710"
"Ibiraiaras (RS)";"Total";"7171"
"Ibirapuitã (RS)";"Total";"4061"
"Ibirubá (RS)";"Total";"19310"
"Igrejinha (RS)";"Total";"31660"
"Ijuí (RS)";"Total";"78915"
"Ilópolis (RS)";"Total";"4102"
"Imbé (RS)";"Total";"17670"
"Imigrante (RS)";"Total";"3023"
"Independência (RS)";"Total";"6618"
"Inhacorá (RS)";"Total";"2267"
"Ipê (RS)";"Total";"6016"
"Ipiranga do Sul (RS)";"Total";"1944"
"Iraí (RS)";"Total";"8078"
"Itaara (RS)";"Total";"5010"
"Itacurubi (RS)";"Total";"3441"
"Itapuca (RS)";"Total";"2344"
"Itaqui (RS)";"Total";"38159"
"Itati (RS)";"Total";"2584"
"Itatiba do Sul (RS)";"Total";"4171"
"Ivorá (RS)";"Total";"2156"
"Ivoti (RS)";"Total";"19874"
"Jaboticaba (RS)";"Total";"4098"
"Jacuizinho (RS)";"Total";"2507"
"Jacutinga (RS)";"Total";"3633"
"Jaguarão (RS)";"Total";"27931"
"Jaguari (RS)";"Total";"11473"
"Jaquirana (RS)";"Total";"4177"
"Jari (RS)";"Total";"3575"
"Jóia (RS)";"Total";"8331"
"Júlio de Castilhos (RS)";"Total";"19579"
"Lagoa Bonita do Sul (RS)";"Total";"2662"
"Lagoão (RS)";"Total";"6185"
"Lagoa dos Três Cantos (RS)";"Total";"1598"
"Lagoa Vermelha (RS)";"Total";"27525"
"Lajeado (RS)";"Total";"71445"
"Lajeado do Bugre (RS)";"Total";"2487"
"Lavras do Sul (RS)";"Total";"7679"
"Liberato Salzano (RS)";"Total";"5780"
"Lindolfo Collor (RS)";"Total";"5227"
"Linha Nova (RS)";"Total";"1624"
"Machadinho (RS)";"Total";"5510"
"Maçambará (RS)";"Total";"4738"
"Mampituba (RS)";"Total";"3003"
"Manoel Viana (RS)";"Total";"7072"
"Maquiné (RS)";"Total";"6905"
"Maratá (RS)";"Total";"2527"
"Marau (RS)";"Total";"36364"
"Marcelino Ramos (RS)";"Total";"5134"
"Mariana Pimentel (RS)";"Total";"3768"
"Mariano Moro (RS)";"Total";"2210"
"Marques de Souza (RS)";"Total";"4068"
"Mata (RS)";"Total";"5111"
"Mato Castelhano (RS)";"Total";"2470"
"Mato Leitão (RS)";"Total";"3865"
"Mato Queimado (RS)";"Total";"1799"
"Maximiliano de Almeida (RS)";"Total";"4911"
"Minas do Leão (RS)";"Total";"7631"
"Miraguaí (RS)";"Total";"4855"
"Montauri (RS)";"Total";"1542"
"Monte Alegre dos Campos (RS)";"Total";"3102"
"Monte Belo do Sul (RS)";"Total";"2670"
"Montenegro (RS)";"Total";"59415"
"Mormaço (RS)";"Total";"2749"
"Morrinhos do Sul (RS)";"Total";"3182"
"Morro Redondo (RS)";"Total";"6227"
"Morro Reuter (RS)";"Total";"5676"
"Mostardas (RS)";"Total";"12124"
"Muçum (RS)";"Total";"4791"
"Muitos Capões (RS)";"Total";"2988"
"Muliterno (RS)";"Total";"1813"
"Não-Me-Toque (RS)";"Total";"15936"
"Nicolau Vergueiro (RS)";"Total";"1721"
"Nonoai (RS)";"Total";"12074"
"Nova Alvorada (RS)";"Total";"3182"
"Nova Araçá (RS)";"Total";"4001"
"Nova Bassano (RS)";"Total";"8840"
"Nova Boa Vista (RS)";"Total";"1960"
"Nova Bréscia (RS)";"Total";"3184"
"Nova Candelária (RS)";"Total";"2751"
"Nova Esperança do Sul (RS)";"Total";"4671"
"Nova Hartz (RS)";"Total";"18346"
"Nova Pádua (RS)";"Total";"2450"
"Nova Palma (RS)";"Total";"6342"
"Nova Petrópolis (RS)";"Total";"19045"
"Nova Prata (RS)";"Total";"22830"
"Nova Ramada (RS)";"Total";"2437"
"Nova Roma do Sul (RS)";"Total";"3343"
"Nova Santa Rita (RS)";"Total";"22716"
"Novo Cabrais (RS)";"Total";"3855"
"Novo Hamburgo (RS)";"Total";"238940"
"Novo Machado (RS)";"Total";"3925"
"Novo Tiradentes (RS)";"Total";"2277"
"Novo Xingu (RS)";"Total";"1757"
"Novo Barreiro (RS)";"Total";"3978"
"Osório (RS)";"Total";"40906"
"Paim Filho (RS)";"Total";"4243"
"Palmares do Sul (RS)";"Total";"10969"
"Palmeira das Missões (RS)";"Total";"34328"
"Palmitinho (RS)";"Total";"6920"
"Panambi (RS)";"Total";"38058"
"Pantano Grande (RS)";"Total";"9895"
"Paraí (RS)";"Total";"6812"
"Paraíso do Sul (RS)";"Total";"7336"
"Pareci Novo (RS)";"Total";"3511"
"Parobé (RS)";"Total";"51502"
"Passa Sete (RS)";"Total";"5154"
"Passo do Sobrado (RS)";"Total";"6011"
"Passo Fundo (RS)";"Total";"184826"
"Paulo Bento (RS)";"Total";"2196"
"Paverama (RS)";"Total";"8044"
"Pedras Altas (RS)";"Total";"2212"
"Pedro Osório (RS)";"Total";"7811"
"Pejuçara (RS)";"Total";"3973"
"Pelotas (RS)";"Total";"328275"
"Picada Café (RS)";"Total";"5182"
"Pinhal (RS)";"Total";"2513"
"Pinhal da Serra (RS)";"Total";"2130"
"Pinhal Grande (RS)";"Total";"4471"
"Pinheirinho do Vale (RS)";"Total";"4497"
"Pinheiro Machado (RS)";"Total";"12780"
"Pirapó (RS)";"Total";"2757"
"Piratini (RS)";"Total";"19841"
"Planalto (RS)";"Total";"10524"
"Poço das Antas (RS)";"Total";"2017"
"Pontão (RS)";"Total";"3857"
"Ponte Preta (RS)";"Total";"1750"
"Portão (RS)";"Total";"30920"
"Porto Alegre (RS)";"Total";"1409351"
"Porto Lucena (RS)";"Total";"5413"
"Porto Mauá (RS)";"Total";"2542"
"Porto Vera Cruz (RS)";"Total";"1852"
"Porto Xavier (RS)";"Total";"10558"
"Pouso Novo (RS)";"Total";"1875"
"Presidente Lucena (RS)";"Total";"2484"
"Progresso (RS)";"Total";"6163"
"Protásio Alves (RS)";"Total";"2000"
"Putinga (RS)";"Total";"4141"
"Quaraí (RS)";"Total";"23021"
"Quatro Irmãos (RS)";"Total";"1775"
"Quevedos (RS)";"Total";"2710"
"Quinze de Novembro (RS)";"Total";"3653"
"Redentora (RS)";"Total";"10222"
"Relvado (RS)";"Total";"2155"
"Restinga Sêca (RS)";"Total";"15849"
"Rio dos Índios (RS)";"Total";"3616"
"Rio Grande (RS)";"Total";"197228"
"Rio Pardo (RS)";"Total";"37591"
"Riozinho (RS)";"Total";"4330"
"Roca Sales (RS)";"Total";"10284"
"Rodeio Bonito (RS)";"Total";"5743"
"Rolador (RS)";"Total";"2546"
"Rolante (RS)";"Total";"19485"
"Ronda Alta (RS)";"Total";"10221"
"Rondinha (RS)";"Total";"5518"
"Roque Gonzales (RS)";"Total";"7203"
"Rosário do Sul (RS)";"Total";"39707"
"Sagrada Família (RS)";"Total";"2595"
"Saldanha Marinho (RS)";"Total";"2869"
